models: 40
     6381 dl   979 likes  Qwen/Qwen3.8-2.4T-A95B
    19945 dl   504 likes  deepseek-ai/DeepSeek-V4-Pro-0813
  1798247 dl  3430 likes  deepseek-ai/DeepSeek-V4-Flash-0731
   170554 dl   277 likes  nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4
   135448 dl   633 likes  LiquidAI/LFM2.5-2.6B
    10745 dl   199 likes  Qwen/Qwen3.8-2.4T-A95B-FP8
      240 dl   168 likes  dots-studio/dots3-note-prev
    62965 dl   154 likes  nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16
    24549 dl   128 likes  JonathanColetti/Qwen3.8-27B-Uncensored-GGUF
     4497 dl   125 likes  Cactus-Compute/needle2
     1861 dl   111 likes  Motif-Technologies/Motif-3
    12205 dl   336 likes  inclusionAI/Ling-3.0-flash
    12028 dl   102 likes  unsloth/Qwen3.8-2.4T-A95B-GGUF
     6098 dl   364 likes  deepgrove/maple-preview
    79108 dl    69 likes  unsloth/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-GGUF
   285661 dl   228 likes  LiquidAI/LFM2.5-2.6B-GGUF
    30005 dl    64 likes  webAI-Official/TwIL-LM3
     1605 dl    63 likes  huihui-ai/Huihui-CyberStrike-OffSec-35B-abliterated
  2704431 dl  4970 likes  zai-org/GLM-5.2
     8042 dl    53 likes  AtomicChat/Qwen3.8-27B-GGUF
  1313358 dl  5445 likes  deepseek-ai/DeepSeek-V4-Pro
     1445 dl    44 likes  ThorOdinson246/nl2sh-1.5b-Q4_K_M
  2102039 dl  2105 likes  deepseek-ai/DeepSeek-V4-Flash
     2273 dl   121 likes  Akahsizrr/fuse-1-Lite
        0 dl    41 likes  Youssofal/Qwen3.8-27B-MTPLX-Optimized-Speed
    23434 dl   584 likes  Kwaipilot/KAT-Coder-V2.5-Dev
   243479 dl   139 likes  huihui-ai/Huihui-DeepSeek-V4-Flash-0731-abliterated-GGUF
   407634 dl  1445 likes  yuxinlu1/gemma-4-12B-agentic-fable5-composer2.5-v2-3.5x-tau2-GGUF
      648 dl    32 likes  Motif-Technologies/Motif-3-Base
        0 dl    32 likes  AEON-7/Qwen3.8-27B-AEON-ULTIMATE-UNCENSORED-BF16
  7614661 dl  6613 likes  meta-llama/Llama-3.1-8B-Instruct
      695 dl    32 likes  Jiunsong/SuperDeepseek-V4-Flash-abliterated-MQ-2xDGX
   119909 dl   969 likes  poolside/Laguna-S-2.1
     5642 dl    28 likes  esatapedico/Qwen3.8-27B-NVFP4-MTP-GGUF
     1237 dl    27 likes  Motif-Technologies/Motif-3-NVFP4
   775667 dl  1214 likes  prism-ml/Ternary-Bonsai-27B-gguf
    63847 dl    25 likes  ggml-org/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-GGUF
     3489 dl    25 likes  dealignai/DeepSeek-V4-Flash-0731-JANG-CRACK
    29748 dl    24 likes  bloomer010/Ling-3.0-tiny-GGUF
     5819 dl    24 likes  sakamakismile/Qwen3.8-27B-MTP-NVFP4
