door,worker,planner,checker,delivered,clean,usd,minutes,runs
task,ds-v4.1-flash,-,qwen3.8-max,0.75,0.69,0.13,0,5
task,glm-5.3-flash,-,qwen3.8-max,0.95,0.78,0.27,4,17
task,ds-v4.1-flash,-,kimi-k3,0.75,0.69,0.24,2,7
task,glm-5.3,-,qwen3.8-max,0.91,0.85,0.53,1,11
task,ds-v4.1-flash,-,fable-5.1,0.75,0.87,0.45,0,8
task,glm-5.3-flash,-,kimi-k3,0.95,0.79,0.50,11,21
do,ds-v4.1-flash,opus-5,-,0.67,0.9,0.46,1,12
do,ds-v4.1-flash,glm-5.3-flash,-,0.67,0.84,0.36,0,16
task,ds-v4.1-flash,-,opus-5,0.75,0.64,0.40,0,7
do,ds-v4.1-flash,qwen3.8-max,-,0.67,0.56,0.22,0,11
do,ds-v4.1-flash,glm-5.3,-,0.67,0.51,0.23,0,9
task,muse-spark-1.3,-,qwen3.8-max,0.5,0.95,0.41,0,16
task,glm-5.3-flash,-,fable-5.1,0.95,0.95,0.95,1,25
task,glm-5.3,-,kimi-k3,0.91,0.85,0.98,6,14
task,glm-5.3-flash,-,opus-5,0.95,0.74,0.84,4,20
do,muse-spark-1.3,qwen3.8-max,-,0.75,0.82,0.72,0,32
do,ds-v4.1-flash,kimi-k3,-,0.67,0.39,0.18,0,11
do,muse-spark-1.3,glm-5.3,-,0.75,0.77,0.75,0,26
do,glm-5.3,qwen3.8-max,-,0.92,0.72,0.93,2,22
task,muse-spark-1.3,-,kimi-k3,0.5,0.95,0.76,0,19
do,muse-spark-1.3,kimi-k3,-,0.75,0.65,0.59,0,32
do,glm-5.3-flash,opus-5,-,0.64,0.95,0.96,1,37
do,glm-5.3-flash,qwen3.8-max,-,0.64,0.66,0.47,2,34
do,glm-5.3-flash,glm-5.3,-,0.64,0.6,0.49,1,27
do,glm-5.3,kimi-k3,-,0.92,0.55,0.76,1,23
do,ds-v4.1-flash,fable-5.1,-,0.67,0.71,0.89,0,13
do,muse-spark-1.3,glm-5.3-flash,-,0.75,0.95,1.16,0,48
do,glm-5.3,glm-5.3-flash,-,0.92,0.95,1.50,1,33
do,muse-spark-1.3,opus-5,-,0.75,0.95,1.45,0,35
task,glm-5.3,-,fable-5.1,0.91,0.95,1.87,1,16
do,glm-5.3-flash,kimi-k3,-,0.64,0.49,0.39,3,34
do,glm-5.3,opus-5,-,0.92,0.95,1.88,2,24
task,glm-5.3,-,opus-5,0.91,0.8,1.65,1,13
task,muse-spark-1.3,-,opus-5,0.5,0.9,1.28,0,19
task,qwen3.8-max,-,kimi-k3,0.83,0.69,1.31,2,22
task,muse-spark-1.3,-,fable-5.1,0.5,0.95,1.44,0,24
do,qwen3.8-max,glm-5.3-flash,-,0.86,0.84,2.01,1,55
do,glm-5.3-flash,fable-5.1,-,0.64,0.81,1.87,5,41
task,qwen3.8-max,-,fable-5.1,0.83,0.87,2.50,2,27
do,qwen3.8-max,glm-5.3,-,0.86,0.5,1.30,1,29
task,ds-v4-pro-0813,-,qwen3.8-max,0.5,0.35,0.47,0,7
do,qwen3.8-max,opus-5,-,0.86,0.9,2.53,2,40
do,muse-spark-1.3,fable-5.1,-,0.75,0.95,2.84,2,39
do,ds-v4-pro-0813,glm-5.3-flash,-,0.67,0.5,1.32,0,20
do,ds-v4-pro-0813,opus-5,-,0.67,0.56,1.66,0,14
do,qwen3.8-max,kimi-k3,-,0.86,0.39,1.02,0,37
task,qwen3.8-max,-,opus-5,0.83,0.64,2.22,0,22
task,ds-v4-pro-0813,-,fable-5.1,0.5,0.54,1.64,0,10
task,ds-v4-pro-0813,-,kimi-k3,0.5,0.36,0.86,0,8
do,glm-5.3,fable-5.1,-,0.92,0.87,3.68,4,27
do,ds-v4-pro-0813,qwen3.8-max,-,0.67,0.23,0.82,0,13
task,ds-v4-pro-0813,-,opus-5,0.5,0.3,1.46,0,8
do,ds-v4-pro-0813,glm-5.3,-,0.67,0.17,0.85,0,11
do,qwen3.8-max,fable-5.1,-,0.86,0.71,4.94,1,44
do,ds-v4-pro-0813,fable-5.1,-,0.67,0.38,3.24,1,16
do,ds-v4-pro-0813,kimi-k3,-,0.67,0.06,0.67,0,13
