role,model,mean,sd,n,installs
high,anthropic/claude-fable-5.1,76.68152668934793,36.61254584642486,42,14
high,anthropic/claude-opus-5,103.54776721706943,4.6802523334497765,7,5
high,crew/high,77.82435129740522,0,27,18
high,moonshotai/kimi-k3,87.16912698566628,31.497039417435605,28,8
high,qwen/qwen3.8-max-0902,95.63830546259504,33.58951498371007,42,18
mastermind,anthropic/claude-fable-5.1,76.94982874005225,41.31549501122744,38,3
mastermind,anthropic/claude-opus-5,83.0024603189996,36.634754853252325,20,4
mastermind,moonshotai/kimi-k3,55.89719716110487,50.725727350178815,19,3
worker,crew/worker,77.82435129740522,0,27,18
worker,deepseek/deepseek-v4.1-flash,88.54733457348546,32.15972343549944,55,23
worker,meta/muse-spark-1.3,98.00246031899961,0,16,5
worker,openai/gpt-5.6-sol,97.37284235718451,10.594810050208546,9,5
worker,z-ai/glm-5.3,63.88114344478918,44.4022370239314,42,9
worker,z-ai/glm-5.3-flash,80.07434655130217,46.174190967178845,102,16
