id,size,type,worker,checker,thinker,usd,minutes,rating,major,minor,nowork
c001,M,W,z-ai/glm-5.3,moonshotai/kimi-k3,anthropic/claude-opus-5,3.1300,5.40,1,0,0,1
c003,M,R,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,0.1058,17.50,4,0,0,0
c004,M,R,z-ai/glm-5.3-flash,moonshotai/kimi-k3,anthropic/claude-opus-5,1.4796,13.10,5,1,0,0
c002,S,W,z-ai/glm-5.3-flash,moonshotai/kimi-k3,anthropic/claude-opus-5,0.1977,21.90,5,0,0,0
c005,S,W,deepseek/deepseek-v4.1-flash,anthropic/claude-opus-5,anthropic/claude-opus-5,2.1600,17.50,5,0,0,0
c006,S,W,meta/muse-spark-1.3,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,1.7700,29.10,5,0,0,0
c007,S,W,meta/muse-spark-1.3,anthropic/claude-fable-5.1,anthropic/claude-opus-5,0.6500,11.90,5,0,0,0
c008,S,W,deepseek/deepseek-v4.1-flash,anthropic/claude-fable-5.1,anthropic/claude-opus-5,0.9600,12.40,5,0,0,0
c009,S,W,meta/muse-spark-1.3,moonshotai/kimi-k3,anthropic/claude-opus-5,1.5900,12.00,5,0,0,0
c011,M,R,deepseek/deepseek-v4.1-flash,anthropic/claude-fable-5.1,anthropic/claude-opus-5,0.1800,36.00,1,0,0,1
c010,S,W,z-ai/glm-5.3,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,3.0800,15.50,1,0,0,1
c012,M,R,z-ai/glm-5.3-flash,anthropic/claude-opus-5,anthropic/claude-opus-5,0.2700,13.00,5,0,0,0
c014,S,W,meta/muse-spark-1.3,anthropic/claude-opus-5,anthropic/claude-opus-5,3.4000,20.00,4,0,1,0
c015,S,W,z-ai/glm-5.3,moonshotai/kimi-k3,anthropic/claude-opus-5,0.3600,14.00,4,0,1,0
c013,S,W,z-ai/glm-5.3,anthropic/claude-fable-5.1,anthropic/claude-opus-5,0.5100,56.30,4,0,0,0
c017,M,W,z-ai/glm-5.3,anthropic/claude-fable-5.1,anthropic/claude-opus-5,5.1900,19.10,1,0,0,1
c018,M,W,z-ai/glm-5.3,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,2.4500,19.00,4,0,1,0
c016,S,W,deepseek/deepseek-v4.1-flash,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,0.8800,35.50,5,0,0,0
c017,M,W,z-ai/glm-5.3,anthropic/claude-fable-5.1,anthropic/claude-opus-5,1.5700,25.90,4,0,1,0
c019,M,W,deepseek/deepseek-v4.1-flash,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,0.5800,15.80,4,1,1,0
c020,M,W,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,anthropic/claude-opus-5,1.8900,14.00,1,0,0,1
c021,M,W,deepseek/deepseek-v4.1-flash,moonshotai/kimi-k3,anthropic/claude-opus-5,0.3100,8.60,5,0,1,0
c020,M,W,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,anthropic/claude-opus-5,0.5600,52.60,4,1,1,0
c020,M,W,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,anthropic/claude-opus-5,0.5600,52.60,4,0,2,0
