i,crew,worker,planner,cost_usd,checker_usd,calls,wall_s,rating,major,minor,rules,exit,stop
0,balanced,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.6609,,54,1014,3,1,3,0,2,incomplete
1,balanced,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.8010,,55,2329,3,2,2,2,3,deadline
2,max,z-ai/glm-5.3,moonshotai/kimi-k3,0.4607,,41,542,5,0,0,0,3,deadline
3,balanced,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.8010,,55,2329,4,1,2,0,3,deadline
4,balanced,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.4815,,41,1800,5,0,0,0,3,deadline
5,balanced,z-ai/glm-5.3-flash,moonshotai/kimi-k3,1.7124,,98,2885,3,1,2,0,2,incomplete
6,balanced,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.8010,,55,2329,3,1,2,0,3,deadline
7,balanced,glm-5.3-flash,kimi-k3,0.6965,,76,2940,3,2,1,2,3,stopped-by-coordinator
8,balanced,glm-5.3-flash,kimi-k3,1.1378,,215,2940,4,0,1,1,3,stopped-by-coordinator
9,balanced,glm-5.3-flash,kimi-k3,1.2503,,155,3719,4,0,0,1,3,stopped-by-coordinator
10,balanced,z-ai/glm-5.3-flash,moonshotai/kimi-k3,1.5393,,115,3600,2,3,4,0,3,deadline
11,max,z-ai/glm-5.3,moonshotai/kimi-k3,3.3021,,109,2367,4,0,1,1,2,incomplete
12,other,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.3730,,8,648,1,0,0,0,2,incomplete
13,doe,z-ai/glm-5.3-flash,anthropic/claude-opus-5,0.1178,,10,339,1,0,0,0,2,incomplete
14,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.2255,,36,1053,5,0,0,0,2,incomplete
15,doe,qwen/qwen3.8-max-0902,z-ai/glm-5.3,1.0298,,65,1120,3,1,0,0,2,incomplete
16,doe,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,0.2292,,52,1245,3,1,0,0,2,incomplete
17,max,z-ai/glm-5.3,moonshotai/kimi-k3,2.6364,,154,2973,5,0,0,0,3,stopped-by-coordinator
18,doe,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,0.0370,,11,10,1,0,0,0,2,incomplete
19,doe,z-ai/glm-5.3,anthropic/claude-opus-5,1.0500,,0,9,5,0,0,0,0,settled
20,doe,z-ai/glm-5.3-flash,z-ai/glm-5.3,0.1830,,0,13,3,1,0,0,0,settled
21,doe,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,0.1710,,0,10,5,0,0,0,0,settled
22,doe,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,0.6160,,0,10,3,1,0,0,0,settled
23,doe,z-ai/glm-5.3,anthropic/claude-fable-5.1,0.9260,,0,13,5,0,0,0,0,settled
24,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.6609,,54,1014,3,1,3,0,2,incomplete
25,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.8010,,55,2329,3,1,2,0,3,deadline
26,do,z-ai/glm-5.3,moonshotai/kimi-k3,0.4607,,41,542,5,0,0,0,3,deadline
27,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.4815,,41,1800,5,0,0,0,3,deadline
28,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,1.7124,,98,2885,3,1,2,0,2,incomplete
29,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,1.5393,,115,3600,2,3,4,0,3,deadline
30,do,z-ai/glm-5.3,moonshotai/kimi-k3,3.3021,,109,2367,4,0,1,1,2,incomplete
31,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.6965,,76,2940,3,2,1,2,3,stopped-by-coordinator
32,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,1.1378,,215,2940,4,0,1,1,3,stopped-by-coordinator
33,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,1.2503,,155,3719,4,0,0,1,3,stopped-by-coordinator
34,do,z-ai/glm-5.3,moonshotai/kimi-k3,2.6364,,154,2973,5,0,0,0,3,stopped-by-coordinator
35,doe,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,1.2920,,38,29,4,0,0,1,2,incomplete
36,doe,qwen/qwen3.8-max-0902,z-ai/glm-5.3,1.5850,,0,17,5,0,0,0,0,settled
37,doe,z-ai/glm-5.3-flash,z-ai/glm-5.3,0.3640,,83,33,4,0,1,2,2,incomplete
38,doe,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.0370,,13,6,1,0,0,0,2,incomplete
39,doe,z-ai/glm-5.3-flash,z-ai/glm-5.3,0.8580,,0,21,4,0,1,0,0,settled
40,doe,z-ai/glm-5.3,qwen/qwen3.8-max-0902,0.3520,,34,14,4,0,0,1,2,incomplete
41,doe,z-ai/glm-5.3,qwen/qwen3.8-max-0902,2.0350,,0,15,3,1,0,0,0,settled
42,do,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,2.6853,,22,610,4,0,1,0,3,stopped-by-coordinator
43,doe,z-ai/glm-5.3,z-ai/glm-5.3-flash,1.9290,,137,39,5,0,0,0,2,incomplete
44,doe,z-ai/glm-5.3,qwen/qwen3.8-max-0902,1.2100,,0,24,5,0,0,0,0,settled
45,doe,z-ai/glm-5.3,moonshotai/kimi-k3,0.2720,,35,13,2,1,1,1,2,incomplete
46,doe,z-ai/glm-5.3,anthropic/claude-opus-5,5.1220,,118,41,5,0,0,0,2,incomplete
47,do,z-ai/glm-5.3,moonshotai/kimi-k3,4.2517,,147,2863,3,1,1,0,3,deadline
48,doe,z-ai/glm-5.3,anthropic/claude-opus-5,0.7050,,0,9,5,0,0,0,0,settled
49,doe,z-ai/glm-5.3,anthropic/claude-fable-5.1,0.8100,,0,10,5,0,0,0,0,settled
50,doe,z-ai/glm-5.3-flash,z-ai/glm-5.3,0.2230,,0,20,5,0,0,0,0,settled
51,doe,z-ai/glm-5.3-flash,moonshotai/kimi-k3,0.0690,,11,17,1,0,0,0,2,incomplete
52,doe,z-ai/glm-5.3-flash,moonshotai/kimi-k3,1.1190,,0,18,4,0,1,0,0,settled
53,doe,z-ai/glm-5.3,anthropic/claude-fable-5.1,0.5770,,0,7,4,0,2,0,0,settled
54,doe,z-ai/glm-5.3,anthropic/claude-fable-5.1,9.8580,,117,45,5,0,0,0,2,incomplete
