i,door,worker,planner,checker,usd,usd_worker,usd_planner,usd_checker,usd_other,wall_min,rating,major,minor,tokens_in,tokens_out,calls
3,do,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,-,0.0370,0.0060,0.0320,0.0000,0.0000,9.80,1,0,0,,,
4,task,z-ai/glm-5.3,anthropic/claude-opus-5,anthropic/claude-fable-5.1,1.0500,0.7120,0.0000,0.3340,0.0030,8.60,5,0,0,,,
5,task,z-ai/glm-5.3-flash,z-ai/glm-5.3,moonshotai/kimi-k3,0.1830,0.0850,0.0020,0.0930,0.0030,12.80,3,1,0,,,
6,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.1710,0.0610,0.0000,0.1040,0.0060,9.80,5,0,0,,,
7,task,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,0.6160,0.0140,0.0020,0.2720,0.3290,10.40,3,1,0,,,
8,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,anthropic/claude-opus-5,0.9260,0.6500,0.0260,0.2380,0.0120,12.60,5,0,0,,,
9,do,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,-,1.2920,1.1650,0.1270,0.0000,0.0000,28.80,4,0,0,,,
10,task,qwen/qwen3.8-max-0902,z-ai/glm-5.3,moonshotai/kimi-k3,1.5850,1.3960,0.0020,0.1830,0.0030,16.80,5,0,0,,,
11,do,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,-,0.0371,0.0056,0.0316,0.0000,0.0000,9.80,1,0,0,104465,21647,11
12,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,-,0.0367,0.0078,0.0288,0.0000,0.0000,6.00,1,0,0,147105,16603,13
13,task,z-ai/glm-5.3,anthropic/claude-opus-5,anthropic/claude-fable-5.1,1.0496,0.7120,0.0000,0.3344,0.0032,8.60,5,0,0,1700067,47366,33
14,task,z-ai/glm-5.3-flash,z-ai/glm-5.3,moonshotai/kimi-k3,0.1827,0.0847,0.0023,0.0926,0.0030,12.80,3,1,0,1607694,33223,37
15,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.1713,0.0611,0.0000,0.1041,0.0061,9.80,5,0,0,1067824,33492,31
16,task,z-ai/glm-5.3-flash,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,0.6163,0.0137,0.0020,0.2718,0.3289,10.40,3,1,0,931884,28710,30
17,task,qwen/qwen3.8-max-0902,z-ai/glm-5.3,moonshotai/kimi-k3,1.5847,1.3962,0.0022,0.1831,0.0031,16.80,5,0,0,2958943,35341,57
18,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,anthropic/claude-opus-5,0.9255,0.6501,0.0261,0.2377,0.0115,12.60,5,0,0,1392434,85059,31
19,do,qwen/qwen3.8-max-0902,anthropic/claude-opus-5,-,1.2920,1.1654,0.1266,0.0000,0.0000,28.80,4,0,0,880667,74124,38
20,do,z-ai/glm-5.3-flash,z-ai/glm-5.3,-,0.3643,0.3455,0.0188,0.0000,0.0000,33.00,4,0,1,1953852,95223,83
21,task,z-ai/glm-5.3-flash,z-ai/glm-5.3,anthropic/claude-fable-5.1,0.8584,0.0204,0.5259,0.2433,0.0688,20.70,4,0,1,1806279,88984,44
22,do,z-ai/glm-5.3,qwen/qwen3.8-max-0902,-,0.3518,0.3222,0.0296,0.0000,0.0000,13.70,4,0,0,801666,22884,34
23,task,z-ai/glm-5.3,qwen/qwen3.8-max-0902,moonshotai/kimi-k3,2.0347,1.8277,0.0024,0.1978,0.0068,15.30,3,1,0,5621785,116222,57
25,do,z-ai/glm-5.3,z-ai/glm-5.3-flash,-,1.9285,1.9163,0.0122,0.0000,0.0000,39.20,5,0,0,3509096,235189,137
26,task,z-ai/glm-5.3,qwen/qwen3.8-max-0902,moonshotai/kimi-k3,1.2095,0.7855,0.0032,0.2821,0.1386,24.00,5,0,0,3254009,94498,83
27,do,z-ai/glm-5.3,moonshotai/kimi-k3,-,0.2718,0.2278,0.0439,0.0000,0.0000,13.30,2,1,1,527356,21427,35
29,do,z-ai/glm-5.3,anthropic/claude-opus-5,-,5.1218,5.0551,0.0666,0.0000,0.0000,41.00,5,0,0,2853277,314522,118
30,task,z-ai/glm-5.3,anthropic/claude-opus-5,qwen/qwen3.8-max-0902,0.7049,0.5580,0.0000,0.1114,0.0355,8.90,5,0,0,2060062,23924,65
31,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.8102,0.6032,0.0000,0.2039,0.0031,9.60,5,0,0,1421509,12318,41
32,task,z-ai/glm-5.3-flash,z-ai/glm-5.3,qwen/qwen3.8-max-0902,0.2226,0.0730,0.0024,0.1081,0.0390,19.50,5,0,0,2609256,60489,69
33,do,z-ai/glm-5.3-flash,moonshotai/kimi-k3,-,0.0686,0.0188,0.0498,0.0000,0.0000,17.20,1,0,0,88995,22264,11
34,task,z-ai/glm-5.3-flash,moonshotai/kimi-k3,anthropic/claude-opus-5,1.1185,0.0891,0.0081,1.0174,0.0038,18.50,4,0,1,2197770,56802,59
35,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.5773,0.4374,0.0000,0.1362,0.0037,6.60,4,0,2,1253183,26355,42
36,do,z-ai/glm-5.3,anthropic/claude-fable-5.1,-,9.8581,8.6688,1.1893,0.0000,0.0000,45.30,5,0,0,3168155,385171,117
37,task,z-ai/glm-5.3-flash,moonshotai/kimi-k3,anthropic/claude-opus-5,1.1185,0.0891,0.0081,1.0174,0.0038,18.50,5,0,0,2197770,56802,59
38,task,z-ai/glm-5.3,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.5773,0.4374,0.0000,0.1362,0.0037,6.60,4,0,1,1253183,26355,42
39,task,z-ai/glm-5.3-flash,anthropic/claude-fable-5.1,moonshotai/kimi-k3,0.5822,0.0169,0.0000,0.1512,0.4141,10.40,5,0,0,1209090,41004,43
