init internal/bytealg @0.020 ms, 0 ms clock, 0 bytes, 0 allocs
init internal/runtime/sys @0.051 ms, 0 ms clock, 0 bytes, 0 allocs
init runtime @0.068 ms, 0.18 ms clock, 0 bytes, 0 allocs
init crypto/internal/fips140deps/cpu @0.79 ms, 0.010 ms clock, 0 bytes, 0 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/logshim @0.83 ms, 0.096 ms clock, 336 bytes, 2 allocs
init github.com/charmbracelet/x/ansi/parser @0.95 ms, 0.034 ms clock, 4128 bytes, 3 allocs
init errors @1.0 ms, 0.022 ms clock, 0 bytes, 0 allocs
init iter @1.0 ms, 0.011 ms clock, 0 bytes, 1 allocs
init sync @1.0 ms, 0.001 ms clock, 0 bytes, 0 allocs
init internal/godebug @1.0 ms, 0.083 ms clock, 312 bytes, 7 allocs
init encoding/base64 @1.1 ms, 0.016 ms clock, 1408 bytes, 4 allocs
init github.com/segmentio/asm/base64 @1.2 ms, 0.019 ms clock, 1664 bytes, 6 allocs
init crypto @1.2 ms, 0.009 ms clock, 160 bytes, 1 allocs
init hash/crc32 @1.2 ms, 0.050 ms clock, 1152 bytes, 5 allocs
init syscall @1.3 ms, 0.031 ms clock, 1152 bytes, 5 allocs
init time @1.3 ms, 0.004 ms clock, 256 bytes, 2 allocs
init context @1.4 ms, 0.005 ms clock, 112 bytes, 1 allocs
init crypto/internal/fips140deps/time @1.4 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/aws/aws-sdk-go-v2/internal/sdk @1.4 ms, 0.003 ms clock, 0 bytes, 0 allocs
init internal/poll @1.4 ms, 0.001 ms clock, 72 bytes, 2 allocs
init io/fs @1.4 ms, 0 ms clock, 0 bytes, 0 allocs
init os @1.4 ms, 0.040 ms clock, 432 bytes, 9 allocs
init os/signal @1.5 ms, 0.010 ms clock, 0 bytes, 0 allocs
init unicode @1.5 ms, 0.037 ms clock, 13280 bytes, 20 allocs
init golang.org/x/text/encoding/charmap @1.5 ms, 0.029 ms clock, 0 bytes, 0 allocs
init golang.org/x/text/encoding/japanese @1.6 ms, 0 ms clock, 0 bytes, 0 allocs
init golang.org/x/text/encoding/korean @1.6 ms, 0 ms clock, 0 bytes, 0 allocs
init golang.org/x/text/encoding/simplifiedchinese @1.6 ms, 0 ms clock, 0 bytes, 0 allocs
init golang.org/x/text/encoding/traditionalchinese @1.6 ms, 0 ms clock, 0 bytes, 0 allocs
init golang.org/x/text/encoding/unicode @1.6 ms, 0.016 ms clock, 224 bytes, 2 allocs
init reflect @1.6 ms, 0 ms clock, 0 bytes, 0 allocs
init database/sql/driver @1.6 ms, 0.035 ms clock, 0 bytes, 0 allocs
init database/sql @1.7 ms, 0.015 ms clock, 48 bytes, 1 allocs
init golang.org/x/text/unicode/norm @1.7 ms, 0.010 ms clock, 0 bytes, 0 allocs
init log @1.8 ms, 0.010 ms clock, 64 bytes, 2 allocs
init go.opentelemetry.io/otel/internal/errorhandler @1.8 ms, 0.006 ms clock, 40 bytes, 3 allocs
init modernc.org/libc/errno @1.8 ms, 0.002 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/fcntl @1.8 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/fts @1.8 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/grp @1.8 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/langinfo @1.8 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/limits @1.9 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/netdb @1.9 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/netinet/in @1.9 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/poll @1.9 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/pthread @1.9 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/pwd @1.9 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/signal @1.9 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/stdio @1.9 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/stdlib @1.9 ms, 0 ms clock, 48 bytes, 1 allocs
init modernc.org/libc/sys/socket @2.0 ms, 0 ms clock, 48 bytes, 1 allocs
